NFL Week 1 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NO 24 @ WAS 29,9/14/08,0,0,WAS,0,0,WAS
GB 48 @ DET 25,9/14/08,-3,-3,GB,3,3,GB
CHI 17 @ CAR 20,9/14/08,3,3,PUSH,-3,-3,PUSH
NYG 41 @ STL 13,9/14/08,-9,-8,NYG,9,8,NYG
BUF 20 @ JAC 16,9/14/08,6,4,BUF,-6,-4,BUF
ATL 9 @ TB 24,9/14/08,9,7,TB,-9,-7,TB
SF 33 @ SEA 30,9/14/08,10,6,SF,-10,-6,SF
MIA 10 @ ARI 31,9/14/08,8,6,ARI,-8,-6,ARI
NE 19 @ NYJ 10,9/14/08,1,-1,NE,-1,1,NE
SD 38 @ DEN 39,9/14/08,-1,2,DEN,1,-2,SD
PIT 10 @ CLE 6,9/14/08,-6,-6,CLE,6,6,CLE
PHI 37 @ DAL 41,9/15/08,9,7,PHI,-9,-7,PHI
Showing 1 to 15 of 15 entries,,,,,,,
NFL Week 2 Point Spreads 2007 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
BUF 3 @ PIT 26,9/16/07,9.5,10,PIT,-9.5,-10,PIT
CIN 45 @ CLE 51,9/16/07,-7,-7,CLE,7,7,CLE
IND 22 @ TEN 20,9/16/07,-8,-7,TEN,8,7,TEN
HOU 34 @ CAR 21,9/16/07,7,7,HOU,-7,-7,HOU
SF 17 @ STL 16,9/16/07,3,3,SF,-3,-3,SF
GB 35 @ NYG 13,9/16/07,1,3,GB,-1,-3,GB
ATL 7 @ JAC 13,9/16/07,11,10,ATL,-11,-10,ATL
NO 14 @ TB 31,9/16/07,-3,-6,TB,3,6,TB
MIN 17 @ DET 20,9/16/07,3,3,PUSH,-3,-3,PUSH
DAL 37 @ MIA 20,9/16/07,-3,-3,DAL,3,3,DAL
SEA 20 @ ARI 23,9/16/07,-2.5,-3,ARI,2.5,3,ARI
NYJ 13 @ BAL 20,9/16/07,12.5,10,NYJ,-12.5,-10,NYJ
OAK 20 @ DEN 23,9/16/07,10,10,OAK,-10,-10,OAK
KC 10 @ CHI 20,9/16/07,13,12,KC,-13,-12,KC
SD 14 @ NE 38,9/16/07,4,4,NE,-4,-4,NE
WAS 20 @ PHI 12,9/17/07,7,7,WAS,-7,-7,WAS
,,,,,,,
NFL Week 3 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
HOU 0 @ NE 27,9/22/16,-2.5,0,NE,2.5,0,NE
MIN 22 @ CAR 10,9/25/16,7.5,6,MIN,-7.5,-6,MIN
DET 27 @ GB 34,9/25/16,8.5,8.5,DET,-8.5,-8.5,DET
BAL 19 @ JAC 17,9/25/16,0,-1,BAL,0,1,BAL
ARI 18 @ BUF 33,9/25/16,-5.5,-5,BUF,5.5,5,BUF
OAK 17 @ TEN 10,9/25/16,0,-1.5,OAK,0,1.5,OAK
CLE 24 @ MIA 30,9/25/16,7,10,CLE,-7,-10,CLE
WAS 29 @ NYG 27,9/25/16,3.5,3.5,WAS,-3.5,-3.5,WAS
DEN 29 @ CIN 17,9/25/16,3,3.5,DEN,-3,-3.5,DEN
SF 18 @ SEA 37,9/25/16,10.5,10.5,SEA,-10.5,-10.5,SEA
LA 37 @ TB 32,9/25/16,4,3.5,LA,-4,-3.5,LA
NYJ 3 @ KC 24,9/25/16,3.5,3,KC,-3.5,-3,KC
SD 22 @ IND 26,9/25/16,2.5,1.5,IND,-2.5,-1.5,IND
PIT 3 @ PHI 34,9/25/16,-3.5,-3.5,PHI,3.5,3.5,PHI
CHI 17 @ DAL 31,9/25/16,5.5,6.5,DAL,-5.5,-6.5,DAL
ATL 45 @ NO 32,9/26/16,3,2.5,ATL,-3,-2.5,ATL
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2015 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
WAS 21 @ NYG 32,9/24/15,4,3,NYG,-4,-3,NYG
SD 14 @ MIN 31,9/27/15,3,2.5,MIN,-3,-2.5,MIN
OAK 27 @ CLE 20,9/27/15,4,3.5,OAK,-4,-3.5,OAK
CIN 28 @ BAL 24,9/27/15,2.5,2.5,CIN,-2.5,-2.5,CIN
NO 22 @ CAR 27,9/27/15,3,10,CAR,-3,-10,NO
ATL 39 @ DAL 28,9/27/15,0,1,ATL,0,-1,ATL
TB 9 @ HOU 19,9/27/15,7,6,HOU,-7,-6,HOU
IND 35 @ TEN 33,9/27/15,-4,-3,TEN,4,3,TEN
PIT 12 @ STL 6,9/27/15,1,1.5,PIT,-1,-1.5,PIT
JAC 17 @ NE 51,9/27/15,13,14.5,NE,-13,-14.5,NE
PHI 24 @ NYJ 17,9/27/15,0,3,PHI,0,-3,PHI
SF 7 @ ARI 47,9/27/15,6.5,7,ARI,-6.5,-7,ARI
CHI 0 @ SEA 26,9/27/15,14.5,16.5,SEA,-14.5,-16.5,SEA
BUF 41 @ MIA 14,9/27/15,3,1,BUF,-3,-1,BUF
DEN 24 @ DET 12,9/27/15,-3,-3,DEN,3,3,DEN
KC 28 @ GB 38,9/28/15,6.5,4.5,GB,-6.5,-4.5,GB
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2014 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
TB 14 @ ATL 56,9/18/14,5.5,6.5,ATL,-5.5,-6.5,ATL
SD 22 @ BUF 10,9/21/14,0,2.5,SD,0,-2.5,SD
DAL 34 @ STL 31,9/21/14,-1,-1.5,DAL,1,1.5,DAL
WAS 34 @ PHI 37,9/21/14,7,4,WAS,-7,-4,WAS
HOU 17 @ NYG 30,9/21/14,-3,1,NYG,3,-1,NYG
MIN 9 @ NO 20,9/21/14,10,10,NO,-10,-10,NO
TEN 7 @ CIN 33,9/21/14,7,6.5,CIN,-7,-6.5,CIN
BAL 23 @ CLE 21,9/21/14,-1,-2,BAL,1,2,PUSH
GB 7 @ DET 19,9/21/14,2.5,1.5,DET,-2.5,-1.5,DET
IND 44 @ JAC 17,9/21/14,-7,-6,IND,7,6,IND
OAK 9 @ NE 16,9/21/14,14,14,OAK,-14,-14,OAK
SF 14 @ ARI 23,9/21/14,-2.5,-3,ARI,2.5,3,ARI
DEN 20 @ SEA 26,9/21/14,4.5,4,SEA,-4.5,-4,SEA
KC 34 @ MIA 15,9/21/14,4.5,6,KC,-4.5,-6,KC
PIT 37 @ CAR 19,9/21/14,3.5,3,PIT,-3.5,-3,PIT
CHI 27 @ NYJ 19,9/22/14,1,1.5,CHI,-1,-1.5,CHI
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2013 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
KC 26 @ PHI 16,9/19/13,3,3,KC,-3,-3,KC
HOU 9 @ BAL 30,9/22/13,-1,1,BAL,1,-1,BAL
DET 27 @ WAS 20,9/22/13,-1,-1,DET,1,1,DET
SD 17 @ TEN 20,9/22/13,3.5,3,SD,-3.5,-3,PUSH
ARI 7 @ NO 31,9/22/13,9.5,8,NO,-9.5,-8,NO
TB 3 @ NE 23,9/22/13,7,7.5,NE,-7,-7.5,NE
CLE 31 @ MIN 27,9/22/13,3.5,7,CLE,-3.5,-7,CLE
NYG 0 @ CAR 38,9/22/13,1,-1,CAR,-1,1,CAR
GB 30 @ CIN 34,9/22/13,-1,-3,CIN,1,3,CIN
STL 7 @ DAL 31,9/22/13,3.5,3.5,DAL,-3.5,-3.5,DAL
ATL 23 @ MIA 27,9/22/13,1,3,MIA,-1,-3,MIA
BUF 20 @ NYJ 27,9/22/13,1,2.5,NYJ,-1,-2.5,NYJ
JAC 17 @ SEA 45,9/22/13,17.5,19.5,SEA,-17.5,-19.5,SEA
IND 27 @ SF 7,9/22/13,10,10.5,IND,-10,-10.5,IND
CHI 40 @ PIT 23,9/22/13,-1,-2.5,CHI,1,2.5,CHI
OAK 21 @ DEN 37,9/23/13,14,16,DEN,-14,-16,PUSH
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2012 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NYG 36 @ CAR 7,9/20/12,-1,2.5,NYG,1,-2.5,NYG
STL 6 @ CHI 23,9/23/12,9.5,7,CHI,-9.5,-7,CHI
CIN 38 @ WAS 31,9/23/12,4,3,CIN,-4,-3,CIN
DET 41 @ TEN 44,9/23/12,-2.5,-3.5,TEN,2.5,3.5,TEN
KC 27 @ NO 24,9/23/12,9.5,9,KC,-9.5,-9,KC
SF 13 @ MIN 24,9/23/12,-7,-6.5,MIN,7,6.5,MIN
NYJ 23 @ MIA 20,9/23/12,-3,-2.5,PUSH,3,2.5,NYJ
BUF 24 @ CLE 14,9/23/12,-3,-2.5,BUF,3,2.5,BUF
TB 10 @ DAL 16,9/23/12,8,7,TB,-8,-7,TB
JAC 22 @ IND 17,9/23/12,3,3,JAC,-3,-3,JAC
ATL 27 @ SD 3,9/23/12,3,3,ATL,-3,-3,ATL
PHI 6 @ ARI 27,9/23/12,-4,-3,ARI,4,3,ARI
PIT 31 @ OAK 34,9/23/12,-4.5,-3.5,OAK,4.5,3.5,OAK
HOU 31 @ DEN 25,9/23/12,0,-1,HOU,0,1,HOU
NE 30 @ BAL 31,9/23/12,3,2.5,NE,-3,-2.5,NE
GB 12 @ SEA 14,9/24/12,-3.5,-3,SEA,3.5,3,SEA
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2011 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
SF 13 @ CIN 8,9/25/11,1,2,SF,-1,-2,SF
NE 31 @ BUF 34,9/25/11,-9,-7,BUF,9,7,BUF
HOU 33 @ NO 40,9/25/11,5.5,3,NO,-5.5,-3,NO
NYG 29 @ PHI 16,9/25/11,9,8,NYG,-9,-8,NYG
MIA 16 @ CLE 17,9/25/11,1,-2,PUSH,-1,2,CLE
DEN 14 @ TEN 17,9/25/11,4.5,7,DEN,-4.5,-7,DEN
DET 26 @ MIN 23,9/25/11,-4,-3,MIN,4,3,PUSH
JAC 10 @ CAR 16,9/25/11,3.5,3,CAR,-3.5,-3,CAR
KC 17 @ SD 20,9/25/11,15,14,KC,-15,-14,KC
NYJ 24 @ OAK 34,9/25/11,-3.5,-3,OAK,3.5,3,OAK
BAL 37 @ STL 7,9/25/11,-3.5,-5,BAL,3.5,5,BAL
ATL 13 @ TB 16,9/25/11,-1,1,TB,1,-1,TB
ARI 10 @ SEA 13,9/25/11,-3,-3,SEA,3,3,SEA
GB 27 @ CHI 17,9/25/11,-4,-4,GB,4,4,GB
PIT 23 @ IND 20,9/25/11,-11,-10.5,IND,11,10.5,IND
WAS 16 @ DAL 18,9/26/11,4.5,3.5,WAS,-4.5,-3.5,WAS
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2010 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
TEN 29 @ NYG 10,9/26/10,3,3,TEN,-3,-3,TEN
BUF 30 @ NE 38,9/26/10,13.5,15,BUF,-13.5,-15,BUF
CLE 17 @ BAL 24,9/26/10,10.5,13,CLE,-10.5,-13,CLE
PIT 38 @ TB 13,9/26/10,-2.5,-3,PIT,2.5,3,PIT
CIN 20 @ CAR 7,9/26/10,-3.5,-3,CIN,3.5,3,CIN
ATL 27 @ NO 24,9/26/10,4.5,3,ATL,-4.5,-3,ATL
SF 10 @ KC 31,9/26/10,-1,-3,KC,1,3,KC
DET 10 @ MIN 24,9/26/10,10.5,13,MIN,-10.5,-13,MIN
DAL 27 @ HOU 13,9/26/10,3,3,DAL,-3,-3,DAL
WAS 16 @ STL 30,9/26/10,-4,-5,STL,4,5,STL
PHI 28 @ JAC 3,9/26/10,-3,-3,PHI,3,3,PHI
IND 27 @ DEN 13,9/26/10,-5,-6,IND,5,6,IND
SD 20 @ SEA 27,9/26/10,-5.5,-4,SEA,5.5,4,SEA
OAK 23 @ ARI 24,9/26/10,4,6,OAK,-4,-6,OAK
NYJ 31 @ MIA 23,9/26/10,0,2,NYJ,0,-2,NYJ
GB 17 @ CHI 20,9/27/10,-3,-3,CHI,3,3,CHI
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2009 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
TEN 17 @ NYJ 24,9/27/09,3,1,NYJ,-3,-1,NYJ
JAC 31 @ HOU 24,9/27/09,3.5,4,JAC,-3.5,-4,JAC
KC 14 @ PHI 34,9/27/09,9.5,8,PHI,-9.5,-8,PHI
CLE 3 @ BAL 34,9/27/09,14,8,BAL,-14,-8,BAL
NYG 24 @ TB 0,9/27/09,-8,4,NYG,8,-4,NYG
WAS 14 @ DET 19,9/27/09,-6,4,DET,6,-4,DET
GB 36 @ STL 17,9/27/09,-7,-7,GB,7,7,GB
SF 24 @ MIN 27,9/27/09,6.5,-4,SF,-6.5,4,MIN
ATL 10 @ NE 26,9/27/09,4.5,-4,NE,-4.5,4,NE
CHI 25 @ SEA 19,9/27/09,-1,4,CHI,1,-4,CHI
NO 27 @ BUF 7,9/27/09,-4,4,NO,4,-4,NO
MIA 13 @ SD 23,9/27/09,7,-4,SD,-7,4,SD
PIT 20 @ CIN 23,9/27/09,-4.5,4,CIN,4.5,-4,PIT
DEN 23 @ OAK 3,9/27/09,1,4,DEN,-1,-4,DEN
IND 31 @ ARI 10,9/27/09,1,3,IND,-1,-3,IND
CAR 7 @ DAL 21,9/28/09,10.5,9,DAL,-10.5,-9,DAL
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2008 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
KC 14 @ ATL 38,9/21/08,4,6,ATL,-4,-6,ATL
OAK 23 @ BUF 24,9/21/08,10,10,OAK,-10,-10,OAK
HOU 12 @ TEN 31,9/21/08,5,5,TEN,-5,-5,TEN
CIN 23 @ NYG 26,9/21/08,14,13,CIN,-14,-13,CIN
ARI 17 @ WAS 24,9/21/08,3,3,WAS,-3,-3,WAS
MIA 38 @ NE 13,9/21/08,14,13,MIA,-14,-13,MIA
TB 27 @ CHI 24,9/21/08,3,3,TB,-3,-3,TB
CAR 10 @ MIN 20,9/21/08,3,3,MIN,-3,-3,MIN
STL 13 @ SEA 37,9/21/08,11,8,SEA,-11,-8,SEA
DET 13 @ SF 31,9/21/08,3.5,5,SF,-3.5,-5,SF
NO 32 @ DEN 34,9/21/08,4,6,NO,-4,-6,NO
PIT 6 @ PHI 15,9/21/08,3,4,PHI,-3,-4,PHI
JAC 23 @ IND 21,9/21/08,6,4,JAC,-6,-4,JAC
CLE 10 @ BAL 28,9/21/08,1,3,BAL,-1,-3,BAL
DAL 27 @ GB 16,9/21/08,-3,-3,DAL,3,3,DAL
NYJ 29 @ SD 48,9/22/08,10,8,SD,-10,-8,SD
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 3 Point Spreads 2007 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
IND 30 @ HOU 24,9/23/07,-5,-7,IND,5,7,HOU
SD 24 @ GB 31,9/23/07,-3.5,-6,GB,3.5,6,GB
MIN 10 @ KC 13,9/23/07,2.5,3,KC,-2.5,-3,PUSH
DET 21 @ PHI 56,9/23/07,7,5,PHI,-7,-5,PHI
BUF 7 @ NE 38,9/23/07,15,17,NE,-15,-17,NE
MIA 28 @ NYJ 31,9/23/07,3,3,PUSH,-3,-3,PUSH
ARI 23 @ BAL 26,9/23/07,7.5,7,ARI,-7.5,-7,ARI
STL 3 @ TB 24,9/23/07,3,4,TB,-3,-4,TB
SF 16 @ PIT 37,9/23/07,9,10,PIT,-9,-10,PIT
JAC 23 @ DEN 14,9/23/07,3,4,JAC,-3,-4,JAC
CIN 21 @ SEA 24,9/23/07,2.5,3,SEA,-2.5,-3,PUSH
CLE 24 @ OAK 26,9/23/07,3,3,CLE,-3,-3,CLE
CAR 27 @ ATL 20,9/23/07,-3,-4,CAR,3,4,CAR
NYG 24 @ WAS 17,9/23/07,4,4,NYG,-4,-4,NYG
DAL 34 @ CHI 10,9/23/07,2.5,3,DAL,-2.5,-3,DAL
TEN 31 @ NO 14,9/24/07,4.5,5,TEN,-4.5,-5,TEN
,,,,,,,
NFL Week 4 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
MIA 7 @ CIN 22,9/29/16,7,7.5,CIN,-7,-7.5,CIN
IND 27 @ JAC 30,10/2/16,-1,1,JAC,1,-1,JAC
BUF 16 @ NE 0,10/2/16,7.5,3.5,BUF,-7.5,-3.5,BUF
SEA 27 @ NYJ 17,10/2/16,-2.5,-1,SEA,2.5,1,SEA
DET 14 @ CHI 17,10/2/16,-3,-3,CHI,3,3,CHI
CAR 33 @ ATL 48,10/2/16,-3.5,-2.5,ATL,3.5,2.5,ATL
OAK 28 @ BAL 27,10/2/16,4,3.5,OAK,-4,-3.5,OAK
TEN 20 @ HOU 27,10/2/16,7,4,PUSH,-7,-4,HOU
CLE 20 @ WAS 31,10/2/16,10,7.5,WAS,-10,-7.5,WAS
DEN 27 @ TB 7,10/2/16,-3,-3.5,DEN,3,3.5,DEN
LA 17 @ ARI 13,10/2/16,10,10,LA,-10,-10,LA
NO 35 @ SD 34,10/2/16,4.5,4,NO,-4.5,-4,NO
DAL 24 @ SF 17,10/2/16,-3,-1,DAL,3,1,DAL
KC 14 @ PIT 43,10/2/16,5,3,PIT,-5,-3,PIT
NYG 10 @ MIN 24,10/3/16,3.5,3.5,MIN,-3.5,-3.5,MIN
Showing 1 to 15 of 15 entries,,,,,,,
NFL Week 4 Point Spreads 2015 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
BAL 23 @ PIT 20,10/1/15,0,-3,BAL,0,3,PUSH
NYJ 27 @ MIA 14,10/4/15,1,-2.5,NYJ,-1,2.5,NYJ
OAK 20 @ CHI 22,10/4/15,-2.5,-3,CHI,2.5,3,CHI
HOU 21 @ ATL 48,10/4/15,4,4,ATL,-4,-4,ATL
NYG 24 @ BUF 10,10/4/15,5.5,6,NYG,-5.5,-6,NYG
JAC 13 @ IND 16,10/4/15,8.5,4,JAC,-8.5,-4,JAC
KC 21 @ CIN 36,10/4/15,4,3.5,CIN,-4,-3.5,CIN
PHI 20 @ WAS 23,10/4/15,-2.5,-3,WAS,2.5,3,WAS
CAR 37 @ TB 23,10/4/15,-3,-3,CAR,3,3,CAR
CLE 27 @ SD 30,10/4/15,7,4.5,CLE,-7,-4.5,CLE
STL 24 @ ARI 22,10/4/15,6.5,7,STL,-6.5,-7,STL
MIN 20 @ DEN 23,10/4/15,6.5,7,MIN,-6.5,-7,MIN
GB 17 @ SF 3,10/4/15,-8.5,-7.5,GB,8.5,7.5,GB
DAL 20 @ NO 26,10/4/15,3.5,3,NO,-3.5,-3,NO
DET 10 @ SEA 13,10/5/15,10,10,DET,-10,-10,DET
Showing 1 to 15 of 15 entries,,,,,,,
NFL Week 4 Point Spreads 2014 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NYG 45 @ WAS 14,9/25/14,5,3,NYG,-5,-3,NYG
GB 38 @ CHI 17,9/28/14,1,-2,GB,-1,2,GB
BUF 17 @ HOU 23,9/28/14,3.5,3,HOU,-3.5,-3,HOU
TEN 17 @ IND 41,9/28/14,7,7.5,IND,-7,-7.5,IND
CAR 10 @ BAL 38,9/28/14,3,3.5,BAL,-3,-3.5,BAL
DET 24 @ NYJ 17,9/28/14,0,2,DET,0,-2,DET
TB 27 @ PIT 24,9/28/14,8,7.5,TB,-8,-7.5,TB
MIA 38 @ OAK 14,9/28/14,-4,-4,MIA,4,4,MIA
JAC 14 @ SD 33,9/28/14,13.5,13,SD,-13.5,-13,SD
ATL 28 @ MIN 41,9/28/14,-3,-5.5,MIN,3,5.5,MIN
PHI 21 @ SF 26,9/28/14,4,3.5,SF,-4,-3.5,SF
NO 17 @ DAL 38,9/28/14,-2.5,-3,DAL,2.5,3,DAL
NE 14 @ KC 41,9/29/14,-3.5,-3,KC,3.5,3,KC
Showing 1 to 13 of 13 entries,,,,,,,
NFL Week 4 Point Spreads 2013 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
SF 35 @ STL 11,9/26/13,-3,-3,SF,3,3,SF
BAL 20 @ BUF 23,9/29/13,-5,-4,BUF,5,4,BUF
ARI 13 @ TB 10,9/29/13,2.5,2.5,ARI,-2.5,-2.5,ARI
PIT 27 @ MIN 34,9/29/13,-1,-3,MIN,1,3,MIN
NYG 7 @ KC 31,9/29/13,4.5,3.5,KC,-4.5,-3.5,KC
IND 37 @ JAC 3,9/29/13,-9.5,-9.5,IND,9.5,9.5,IND
SEA 23 @ HOU 20,9/29/13,-3,-1,PUSH,3,1,SEA
CIN 6 @ CLE 17,9/29/13,-5,-3.5,CLE,5,3.5,CLE
CHI 32 @ DET 40,9/29/13,2.5,3,DET,-2.5,-3,DET
NYJ 13 @ TEN 38,9/29/13,5,3.5,TEN,-5,-3.5,TEN
WAS 24 @ OAK 14,9/29/13,-3,-3.5,WAS,3,3.5,WAS
PHI 20 @ DEN 52,9/29/13,10.5,10.5,DEN,-10.5,-10.5,DEN
DAL 21 @ SD 30,9/29/13,-1,-1,SD,1,1,SD
NE 30 @ ATL 23,9/29/13,0,3,NE,0,-3,NE
MIA 17 @ NO 38,9/30/13,6,7,NO,-6,-7,NO
Showing 1 to 15 of 15 entries,,,,,,,
NFL Week 4 Point Spreads 2012 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
CLE 16 @ BAL 23,9/27/12,12,11.5,CLE,-12,-11.5,CLE
CAR 28 @ ATL 30,9/30/12,9,7,CAR,-9,-7,CAR
SEA 13 @ STL 19,9/30/12,-1,-2,STL,1,2,STL
SF 34 @ NYJ 0,9/30/12,-3.5,-3.5,SF,3.5,3.5,SF
SD 37 @ KC 20,9/30/12,0,-2.5,SD,0,2.5,SD
TEN 14 @ HOU 38,9/30/12,12.5,13,HOU,-12.5,-13,HOU
MIN 20 @ DET 13,9/30/12,4.5,3.5,MIN,-4.5,-3.5,MIN
NE 52 @ BUF 28,9/30/12,-7,-3.5,NE,7,3.5,NE
CIN 27 @ JAC 10,9/30/12,0,1,CIN,0,-1,CIN
OAK 6 @ DEN 37,9/30/12,5.5,6.5,DEN,-5.5,-6.5,DEN
MIA 21 @ ARI 24,9/30/12,6.5,4,MIA,-6.5,-4,MIA
WAS 24 @ TB 22,9/30/12,3,1.5,WAS,-3,-1.5,WAS
NO 27 @ GB 28,9/30/12,9,7.5,NO,-9,-7.5,NO
NYG 17 @ PHI 19,9/30/12,1,1.5,PHI,-1,-1.5,PHI
CHI 34 @ DAL 18,10/1/12,3.5,3,CHI,-3.5,-3,CHI
Showing 1 to 15 of 15 entries,,,,,,,
NFL Week 4 Point Spreads 2011 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
DET 34 @ DAL 30,10/2/11,3,3,DET,-3,-3,DET
NO 23 @ JAC 10,10/2/11,-8,-8,NO,8,8,NO
SF 24 @ PHI 23,10/2/11,8.5,10,SF,-8.5,-10,SF
WAS 17 @ STL 10,10/2/11,-1.5,-3,WAS,1.5,3,WAS
TEN 31 @ CLE 13,10/2/11,1.5,2,TEN,-1.5,-2,TEN
BUF 20 @ CIN 23,10/2/11,-3,-3,CIN,3,3,CIN
MIN 17 @ KC 22,10/2/11,-1.5,-3,KC,1.5,3,KC
CAR 29 @ CHI 34,10/2/11,6.5,7,CAR,-6.5,-7,CAR
PIT 10 @ HOU 17,10/2/11,3,4,HOU,-3,-4,HOU
ATL 30 @ SEA 28,10/2/11,-4,-6,SEA,4,6,SEA
NYG 31 @ ARI 27,10/2/11,-3,-2,NYG,3,2,NYG
MIA 16 @ SD 26,10/2/11,9,7,SD,-9,-7,SD
DEN 23 @ GB 49,10/2/11,13,12,GB,-13,-12,GB
NE 31 @ OAK 19,10/2/11,-6,-7,NE,6,7,NE
NYJ 17 @ BAL 34,10/2/11,4.5,6,BAL,-4.5,-6,BAL
IND 17 @ TB 24,10/3/11,10,10,IND,-10,-10,IND
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 4 Point Spreads 2010 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
DEN 26 @ TEN 20,10/3/10,7.5,6,DEN,-7.5,-6,DEN
BAL 17 @ PIT 14,10/3/10,1.5,3,BAL,-1.5,-3,BAL
CIN 20 @ CLE 23,10/3/10,-3,-2,CLE,3,2,CLE
DET 26 @ GB 28,10/3/10,16,15,DET,-16,-15,DET
CAR 14 @ NO 16,10/3/10,15,13,CAR,-15,-13,CAR
SF 14 @ ATL 16,10/3/10,8,7,SF,-8,-7,SF
SEA 3 @ STL 20,10/3/10,-1.5,-3,STL,1.5,3,STL
NYJ 38 @ BUF 14,10/3/10,-5,-6,NYJ,5,6,NYJ
IND 28 @ JAC 31,10/3/10,-8,-7,JAC,8,7,JAC
HOU 31 @ OAK 24,10/3/10,-3,-3,HOU,3,3,HOU
ARI 10 @ SD 41,10/3/10,9.5,10,SD,-9.5,-10,SD
WAS 17 @ PHI 12,10/3/10,7,5,WAS,-7,-5,WAS
CHI 3 @ NYG 17,10/3/10,3,4,NYG,-3,-4,NYG
NE 41 @ MIA 14,10/4/10,0,0,NE,0,0,NE
Showing 1 to 14 of 14 entries,,,,,,,
NFL Week 4 Point Spreads 2009 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
OAK 6 @ HOU 29,10/4/09,10.5,8,HOU,-10.5,-8,HOU
BAL 21 @ NE 27,10/4/09,3,2,NE,-3,-2,NE
CIN 23 @ CLE 20,10/4/09,-4,-6,CLE,4,6,CLE
NYG 27 @ KC 16,10/4/09,-10,-9,NYG,10,9,NYG
DET 24 @ CHI 48,10/4/09,13,10,CHI,-13,-10,CHI
TB 13 @ WAS 16,10/4/09,8.5,10,TB,-8.5,-10,TB
SEA 17 @ IND 34,10/4/09,10.5,10,IND,-10.5,-10,IND
TEN 17 @ JAC 37,10/4/09,-1,-3,JAC,1,3,JAC
