NFL Week 1 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
DAL 24 @ NYG 17,9/5/12,3.5,3.5,DAL,-3.5,-3.5,DAL
IND 21 @ CHI 41,9/9/12,11,10,CHI,-11,-10,CHI
NE 34 @ TEN 13,9/9/12,-7.5,-5,NE,7.5,5,NE
BUF 28 @ NYJ 48,9/9/12,4.5,3,NYJ,-4.5,-3,NYJ
WAS 40 @ NO 32,9/9/12,10,8.5,WAS,-10,-8.5,WAS
JAC 23 @ MIN 26,9/9/12,4.5,3.5,JAC,-4.5,-3.5,JAC
ATL 40 @ KC 24,9/9/12,0,-2.5,ATL,0,2.5,ATL
PHI 17 @ CLE 16,9/9/12,-8,-8.5,CLE,8,8.5,CLE
STL 23 @ DET 27,9/9/12,10,9,STL,-10,-9,STL
MIA 10 @ HOU 30,9/9/12,7.5,13,HOU,-7.5,-13,HOU
SF 30 @ GB 22,9/9/12,7.5,6,SF,-7.5,-6,SF
SEA 16 @ ARI 20,9/9/12,0,-2.5,ARI,0,2.5,ARI
CAR 10 @ TB 16,9/9/12,-2.5,-3,TB,2.5,3,TB
PIT 19 @ DEN 31,9/9/12,2.5,2.5,DEN,-2.5,-2.5,DEN
CIN 13 @ BAL 44,9/10/12,7,7,BAL,-7,-7,BAL
SD 22 @ OAK 14,9/10/12,0,1,SD,0,-1,SD
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2011 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NO 34 @ GB 42,9/8/11,4.5,5,GB,-4.5,-5,GB
PIT 7 @ BAL 35,9/11/11,2.5,1,BAL,-2.5,-1,BAL
DET 27 @ TB 20,9/11/11,3,1,DET,-3,-1,DET
ATL 12 @ CHI 30,9/11/11,-2.5,-2,CHI,2.5,2,CHI
BUF 41 @ KC 7,9/11/11,6.5,4,BUF,-6.5,-4,BUF
IND 7 @ HOU 34,9/11/11,3,9,HOU,-3,-9,HOU
PHI 31 @ STL 13,9/11/11,-5,-4,PHI,5,4,PHI
CIN 27 @ CLE 17,9/11/11,4.5,7,CIN,-4.5,-7,CIN
TEN 14 @ JAC 16,9/11/11,3,-1,TEN,-3,1,JAC
NYG 14 @ WAS 28,9/11/11,-3.5,-1,WAS,3.5,1,WAS
CAR 21 @ ARI 28,9/11/11,5.5,7,ARI,-5.5,-7,PUSH
SEA 17 @ SF 33,9/11/11,5,6,SF,-5,-6,SF
MIN 17 @ SD 24,9/11/11,8.5,9,MIN,-8.5,-9,MIN
DAL 24 @ NYJ 27,9/11/11,4.5,6,DAL,-4.5,-6,DAL
NE 38 @ MIA 24,9/12/11,-5.5,-7,NE,5.5,7,NE
OAK 23 @ DEN 20,9/12/11,0,3,OAK,0,-3,OAK
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2010 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
MIN 9 @ NO 14,9/9/10,5.5,5,MIN,-5.5,-5,PUSH
CAR 18 @ NYG 31,9/12/10,7,6,NYG,-7,-6,NYG
MIA 15 @ BUF 10,9/12/10,-1.5,-3,MIA,1.5,3,MIA
ATL 9 @ PIT 15,9/12/10,1,-1,PIT,-1,1,PIT
DET 14 @ CHI 19,9/12/10,7,7,DET,-7,-7,DET
CIN 24 @ NE 38,9/12/10,5.5,5,NE,-5.5,-5,NE
CLE 14 @ TB 17,9/12/10,1.5,3,TB,-1.5,-3,PUSH
DEN 17 @ JAC 24,9/12/10,1.5,3,JAC,-1.5,-3,JAC
IND 24 @ HOU 34,9/12/10,-3,-2,HOU,3,2,HOU
OAK 13 @ TEN 38,9/12/10,7,7,TEN,-7,-7,TEN
GB 27 @ PHI 20,9/12/10,1,-3,GB,-1,3,GB
SF 6 @ SEA 31,9/12/10,0,-3,SEA,0,3,SEA
ARI 17 @ STL 13,9/12/10,-3.5,-3,ARI,3.5,3,ARI
DAL 7 @ WAS 13,9/12/10,-3.5,-4,WAS,3.5,4,WAS
BAL 10 @ NYJ 9,9/13/10,3,2,BAL,-3,-2,BAL
SD 14 @ KC 21,9/13/10,-5.5,-4,KC,5.5,4,KC
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2009 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
TEN 10 @ PIT 13,9/10/09,5,6,TEN,-5,-6,TEN
MIA 7 @ ATL 19,9/13/09,4,4,ATL,-4,-4,ATL
KC 24 @ BAL 38,9/13/09,9,13,BAL,-9,-13,BAL
PHI 38 @ CAR 10,9/13/09,2,-3,PHI,-2,3,PHI
DEN 12 @ CIN 7,9/13/09,0,5,DEN,0,-5,DEN
MIN 34 @ CLE 20,9/13/09,-3,-4,MIN,3,4,MIN
NYJ 24 @ HOU 7,9/13/09,3.5,5,NYJ,-3.5,-5,NYJ
JAC 12 @ IND 14,9/13/09,7,6,JAC,-7,-6,JAC
DET 27 @ NO 45,9/13/09,11.5,14,NO,-11.5,-14,NO
DAL 34 @ TB 21,9/13/09,-3,-6,DAL,3,6,DAL
SF 20 @ ARI 16,9/13/09,7,5,SF,-7,-5,SF
WAS 17 @ NYG 23,9/13/09,6,6,PUSH,-6,-6,PUSH
